License Number,Facility Name,DBA,Facility Type,Street,City,ZIP Code,Date Updated
403-01840,1-11 LLC,one:eleven,Medical Marijuana Cultivation,54414 County Road F,Center,81125,2025-05-01
403-00164,1022 S ROYER LLC,Hightops,Medical Marijuana Cultivation,1022 South Royer Street,Colorado Springs,80903,2025-05-01
403-00687,11761013 COLORADO HOLDINGS LLC ,ACA COLORADO,Medical Marijuana Cultivation,3410 Astrozon Court,Colorado Springs,80910,2025-05-01
403-01932,132 ENTERPRISES LLC,KLONE; RadCanna,Medical Marijuana Cultivation,322 North Norfolk Street Unit I,Aurora,80011,2025-05-01
403-01080,1395 SOUTH ACOMA LLC,Stellar Decon; Stellar Cannabis,Medical Marijuana Cultivation,1395 South Acoma Street,Denver,80223,2025-05-01
403-01998,1CURE LLC,None,Medical Marijuana Cultivation,7835 Maverick Lane,Ordway,81063,2025-05-01
403-01472,2222 E BOULDER STREET LLC,HIGHTOPS,Optional Premises,2222 East Boulder Street,Colorado Springs,80909,2025-05-01
403-00980,4611 EXPANSION LLC,None,Medical Marijuana Cultivation,4655 East 46th Avenue,Denver,80216,2025-05-01
403-01390,4747 PEARL STREET LLC,Great Ascent Botanicals,Medical Marijuana Cultivation,4747 Pearl Street Unit M1,Boulder,80301,2025-05-01
403-01401,7415 LLC,None,Medical Marijuana Cultivation,7415 Rex Road,Pueblo,81005,2025-05-01
403-02014,ACES PLACE LLC,None,Medical Marijuana Cultivation,14621 County Road 98,Nunn,80648,2025-05-01
403-01753,ADAMS GREEN CROSSING LLC,None,Medical Marijuana Cultivation,"2727 Palmer Park Boulevard, Suite A",Colorado Springs,80909,2025-05-01
403-01812,ADAMS GREEN CROSSING LLC,Adams Green Crossing,Medical Marijuana Cultivation,"4595 East 46th Avenue, Unit 100",Denver,80216,2025-05-01
403-01724,AF INC,Apothecary Farms,Medical Marijuana Cultivation,3049 Delta Drive,Colorado Springs,80910,2025-05-01
403-01548,AF INC,Apothecary Farms,Medical Marijuana Cultivation,1917 Santa Fe Drive,Pueblo,81006,2025-05-01
403-02395,"ALL PRO FARMS, LLC",None,Medical Marijuana Cultivation,1500 US Highway 85/87,Walsenburg,81089,2025-05-01
403-01828,ALLGREENS LLC,None,Medical Marijuana Cultivation,1235 South Huron Street,Denver,80223,2025-05-01
403-01997,ALPINE ESSENTIALS LLC,Alpine Essentials,Medical Marijuana Cultivation,850 A & B Commercial Lane,Palmer Lake,80133,2025-05-01
403-01730,ARDO HOLDING LLC,None,Medical Marijuana Cultivation,"5200 East Smith Road, Suite 110",Denver,80216,2025-05-01
403-01871,Advanced BTP LLC ,Kind-Meds,Medical Marijuana Cultivation,1001 South Royer Street ,Colorado Springs,80903,2025-05-01
403-01583,BEST BUDZ LLC,Best Budz,Medical Marijuana Cultivation,3850 North Nevada Avenue,Colorado Springs,80907,2025-05-01
403-00573,BEYOND BROADWAY LLC,LivWell,Medical Marijuana Cultivation,5141 North National Western Drive,Denver,80216,2025-05-01
403-01661,BGOOD VENTURES LLC,None,Medical Marijuana Cultivation,1031 West Center Avenue,Denver,80223,2025-05-01
403-01617,BIG MOUNTAIN ORGANICS LLC,Big Medicine Cannabissary,Medical Marijuana Cultivation,2901 North El Paso Street,Colorado Springs,80907,2025-05-01
403-01464,BIG MOUNTAIN ORGANICS LLC,Floraco,Medical Marijuana Cultivation,2909 North El Paso Street,Colorado Springs,80907,2025-05-01
403-01549,BIOMEDS OF COLORADO LLC,Biomeds,Medical Marijuana Cultivation,2301 Rand Avenue,Colorado Springs,80905,2025-05-01
403-01788,BISHFLIP LLC,Ripple,Medical Marijuana Cultivation,3615 East Platte Avenue,Colorado Springs,80909,2025-05-01
403-01484,BK HOLDINGS LLC,The Herbal Center,Medical Marijuana Cultivation,12001 East 37th Avenue,Denver,80239,2025-05-01
403-01485,BK HOLDINGS LLC,The Herbal Center,Medical Marijuana Cultivation,12005 East 37th Avenue,Denver,80239,2025-05-01
403-00977,BLAZIN OG LLC,None,Medical Marijuana Cultivation,4995 North Lima Street,Denver,80239,2025-05-01
403-00176,BLUEGRASS WELLNESS INC,Briargate Wellness Center,Medical Marijuana Cultivation,"890 Dublin Boulevard, Suites A, B, & C",Colorado Springs,80918,2025-05-01
403-02292,BOULDER BUILT LLC,None,Medical Marijuana Cultivation,5305 Vasquez Boulevard,Commerce City,80022,2025-05-01
403-01976,BUBBAS KUSH LLC,Kaiser Consulting Services,Medical Marijuana Cultivation,20064 Tamarack Lane,Ordway,81063,2025-05-01
403-01929,BUD FOX ENTERPRISES LLC,None,Medical Marijuana Cultivation,"14896 East 38th Avenue, Unit C",Aurora,80011,2025-05-01
403-01584,BUILDING BETTER DAYS LLC,Legacy Grown,Medical Marijuana Cultivation,"4425 East 46th Avenue, Unit A",Denver,80216,2025-05-01
403-01729,BUKU LOUD ENTERPRISE LLC,None,Medical Marijuana Cultivation,1507 Dustry Drive,Colorado Springs,80905,2025-05-01
403-01797,BUKU LOUD LLC,Buku Loud,Medical Marijuana Cultivation,3079 South Academy Boulevard,Colorado Springs,80916,2025-05-01
403-00341,CAMO ROSE LLC,None,Medical Marijuana Cultivation,3052 Delta Drive,Colorado Springs,80910,2025-05-01
403-01930,CANNA CLUB LLC,Best Buds,Medical Marijuana Cultivation,"11900 East 33rd Avenue, Suite 2",Aurora,80010,2025-05-01
403-00157,CANNABICARE INC,The Care,Medical Marijuana Cultivation,1466 Woolsey Heights,Colorado Springs,80915,2025-05-01
403-01635,CANNABIS FOR HEALTH LLC,"Pig ""N"" Whistle",Medical Marijuana Cultivation,155 South Pecos Street,Denver,80223,2025-05-01
403-01345,CANNACURA LLC,Vital Cannabis,Medical Marijuana Cultivation,1675 Jet Wing Drive,Colorado Springs,80916,2025-05-01
403-01467,CC AG LLC,Black and White Cannabis,Medical Marijuana Cultivation,2211 East Boulder Street,Colorado Springs,80909,2025-05-01
403-01495,CC TRINIDAD LLC,Smokey's,Medical Marijuana Cultivation,422 North Commercial Street,Trinidad,81082,2025-05-01
403-01657,CG INDUSTRY LLC,CROSS GENETICS,Medical Marijuana Cultivation,"4902 East Smith Road, Unit C",Denver,80216,2025-05-01
403-01655,CHAZ EMMONS LLC,Artsy Cannabis Co,Medical Marijuana Cultivation,"1150 West 5th Avenue, Suite 110",Denver,80204,2025-05-01
403-01646,COLORADO BLUEGRASS LLC,juxt.flora,Medical Marijuana Cultivation,3228 East Platte Avenue,Colorado Springs,80909,2025-05-01
403-00732,COLORADO CANNABIS COMPANY LLC,Pure Marijuana Dispensary,Medical Marijuana Cultivation,4571 North Ivy Street,Denver,80216,2025-05-01
403-00755,COLORADO CHRONIC LLC,None,Medical Marijuana Cultivation,2926 Wood Avenue,Colorado Springs,80907,2025-05-01
403-01542,COLORADO DISTRIBUTING INC,None,Medical Marijuana Cultivation,893 East Enterprise Drive,Pueblo West,81007,2025-05-01
403-01079,CONCENTRATE LLC,WOLF PAC CANNABIS,Optional Premises,2323 South Lipan Street,Denver,80223,2025-05-01
403-00460,CONSCIOUS CONFECTIONS LLC,Native Roots Extracts,Medical Marijuana Cultivation,680 North Lipan Street ,Denver,80204,2025-05-01
403-01946,CONSCIOUSLY CRAFTED LLC,Verde Natural,Medical Marijuana Cultivation,2139 45 Road ,De Beque,81630,2025-05-01
403-00244,CORRIDOR 70 LLC,EverBloom,Medical Marijuana Cultivation,695 Bryant Street,Denver,80204,2025-05-01
403-01650,COTC LLC,Children of the Crops,Medical Marijuana Cultivation,223 East Moreno Avenue,Colorado Springs,80903,2025-05-01
403-00853,D & D CONSULTING INC,Kaya Cannabis,Medical Marijuana Cultivation,1075 South Fox Street,Denver,80223,2025-05-01
403-02131,D AND C MEDICAL MARIJUANA LLC,GOLDEN LEAF,Medical Marijuana Cultivation,1755 Lincoln Avenue,Steamboat Springs,80487,2025-05-01
403-01453,D AND C MEDICAL MARIJUANA LLC,Golden Leaf,Medical Marijuana Cultivation,"2800 Down Hill Plaza, Units 303 & 304",Steamboat Springs,80487,2025-05-01
403-02009,DALWHINNIE FARMS LLC,None,Medical Marijuana Cultivation,6154 County Road 23,Ridgway,81432,2025-05-01
403-01355,DENCO LLC,None,Medical Marijuana Cultivation,4300 East 51st Avenue,Denver,80216,2025-05-01
403-00281,DENCO LLC,None,Medical Marijuana Cultivation,5155 East 46th Avenue,Denver,80216,2025-05-01
403-02007,DOLCE VITA INVESTMENTS LLC,None,Medical Marijuana Cultivation,715 Lone Tree Circle Unit A,Nunn,80648,2025-05-01
403-02401,DOOBIE FARMS LLC,None,Medical Marijuana Cultivation,8356 Maverick Lane,Ordway,81063,2025-05-01
403-00664,DOUBLE BROW LLC,Grow Forth Gardens,Medical Marijuana Cultivation,4715 North Colorado Boulevard,Denver,80205,2025-05-01
403-01895,DR RELEAF INC,None,Medical Marijuana Cultivation,61100 Highway 96 East,Boone,81025,2025-05-01
403-00786,DURANGO ORGANICS LLP,None,Medical Marijuana Cultivation,12929 US Highway 550 South,Durango,81303,2025-05-01
403-01620,DUTCHESS OF DENVER LLC,Dutchess,Medical Marijuana Cultivation,1994 South Cherokee Street,Denver,80223,2025-05-01
403-01170,E2T2 LLC,Cookies Broadway,Medical Marijuana Cultivation,2057 South Broadway,Denver,80210,2025-05-01
403-01950,EAH ENTERPRISES LLC,Vera Cultivation,Medical Marijuana Cultivation,3105 North 75th Street,Boulder,80301,2025-05-01
403-01530,EGOZI VENTURES LLC,None,Medical Marijuana Cultivation,2160 South Lipan Street,Denver,80223,2025-05-01
403-00564,EJB VENTURES LLC,Harmony Extracts,Medical Marijuana Cultivation,4500 North Jason Street,Denver,80211,2025-05-01
403-01773,EJB VENTURES LLC,Harmony Extracts,Medical Marijuana Cultivation,121 North Mariposa Street,Denver,80223,2025-05-01
403-01775,EXOTIC CROPZ LLC,Exotic Cropz,Medical Marijuana Cultivation,1785 North Academy Boulevard #165,Colorado Springs,80909,2025-05-01
403-01048,EZ NATURAL ALTERNATIVES LLC,Herb's Place,Medical Marijuana Cultivation,"3475 Pine Tree Square, Suite E",Colorado Springs,80909,2025-05-01
403-00392,FIVEFIFTYFIVE LLC,None,Medical Marijuana Cultivation,5550 Joliet Street,Denver,80239,2025-05-01
403-00825,FLOWER POWER BOTANICALS LLC,None,Medical Marijuana Cultivation,1308 - 1310 Duff Drive,Fort Collins,80524,2025-05-01
403-01217,FOX STREET WELLNESS LLC,Fox 5280,Medical Marijuana Cultivation,4773 North Fox Street,Denver,80216,2025-05-01
403-01977,FREMONTS FINEST LLC,Fremont's Finest,Medical Marijuana Cultivation,251 Dawn Ridge Trail,Penrose,81240,2025-05-01
403-00131,FUTUREVISION LTD,Medicine Man,Medical Marijuana Cultivation,4750 North Nome Street,Denver,80239,2025-05-01
403-01167,GALACTIC MEDS LLC,Space Buds,Medical Marijuana Cultivation,3516 North Tejon Street,Colorado Springs,80907,2025-05-01
403-01308,GARCIA AND MAESTAS INC,LA CASA CANNABIS II,Medical Marijuana Cultivation,23320 County Road K-5,San Luis,81152,2025-05-01
403-01667,GARDEN OF THE BUDZ LLC,None,Medical Marijuana Cultivation,3178 West Colorado Avenue,Colorado Springs,80904,2025-05-01
403-01764,GARDEN OF THE BUDZ LLC,GOB Extracts,Medical Marijuana Cultivation,"3002 Gunnison Street, Unit B",Colorado Springs,80909,2025-05-01
403-01339,GAS AND GRASS LLC,Rollup,Medical Marijuana Cultivation,"62 Mount View Lane, Units D & E",Colorado Springs,80907,2025-05-01
403-00141,GAS AND GRASS LLC,Rollup,Medical Marijuana Cultivation,505 North Bryant Street,Denver,80204,2025-05-01
403-01178,GATSBY HOLDINGS LLC,Billo,Medical Marijuana Cultivation,"1707 Copper Ridge Spur, Unit A",Steamboat Springs,80487,2025-05-01
403-02385,GHT FARMS LLC,GHT LLC,Medical Marijuana Cultivation,13800 East Moncrieff Place Unit A,Aurora,80011,2025-05-01
403-00204,GL INDUSTRIAL,Grow Life INC,Medical Marijuana Cultivation,115 East Garden of the Gods Road,Colorado Springs,80907,2025-05-01
403-01793,GM HOLDINGS LTD LLC,B.L.E,Medical Marijuana Cultivation,319 Bonfoy Avenue,Colorado Springs,80909,2025-05-01
403-01194,GOLDEN MEDS MERGERCO LLC,Golden Meds,Medical Marijuana Cultivation,5077 North Colorado Boulevard,Denver,80216,2025-05-01
403-01765,GP CANNABIS COMPANY LLC,Grant Pharms Cannabis Co,Medical Marijuana Cultivation,320 Prairie Road,Colorado Springs,80909,2025-05-01
403-00344,GP CANNABIS COMPANY LLC,Grant Pharms Cannabis Co,Medical Marijuana Cultivation,2607 Durango Drive,Colorado Springs,80910,2025-05-01
403-00017,GREEN FARMS LLC,None,Medical Marijuana Cultivation,11975 East 40th Avenue,Denver,80239,2025-05-01
403-01317,GREEN FIELDS LLC,GreenFields,Medical Marijuana Cultivation,"5200 East Smith Road, Suite 120",Denver,80216,2025-05-01
403-00727,GREEN MEADOWS DISPENSARY LLC,None,Medical Marijuana Cultivation,23360 South Highway 550,Montrose,81403,2025-05-01
403-00276,GREEN PHARM LLC,Green Pharm,Medical Marijuana Cultivation,"3111 North Stone Avenue, Suite 160",Colorado Springs,80907,2025-05-01
403-01926,GREEN SATIVA LLC,None,Medical Marijuana Cultivation,63500 East Highway 96,Boone,81025,2025-05-01
403-01728,GREEN SATIVA LLC,None,Medical Marijuana Cultivation,3990 North Grape Street,Denver,80207,2025-05-01
403-02398,GREEN STREET LLC,None,Medical Marijuana Cultivation,19777 & 19779 Tamarack Lane,Ordway,81063,2025-05-01
403-01934,GREEN STREET LLC,None,Medical Marijuana Cultivation,20321 Tamarack Lane,Ordway,81063,2025-05-01
403-01933,GREEN STREET LLC ,None,Medical Marijuana Cultivation,20319 Tamarack Lane,Ordway,81063,2025-05-01
403-00365,GREEN TOWER ENTERPRISES INC,Stone Street Canna,Medical Marijuana Cultivation,3110 North Stone Avenue,Colorado Springs,80907,2025-05-01
403-01331,GREEN TREE BERTHOUD LLC,Green Tree,Medical Marijuana Cultivation,1090 North 2nd Street,Berthoud,80513,2025-05-01
403-01632,GROW DISPENSARY INC,None,Medical Marijuana Cultivation,4245 West 13th Street,Pueblo,81003,2025-05-01
403-01663,GUARANTEED GREEN LTD,Olio,Medical Marijuana Cultivation,"4800 North Oakland Street, Unit 3",Denver,80239,2025-05-01
403-00055,GUARANTEED GREEN LTD,Olio,Medical Marijuana Cultivation,"4800 North Oakland Street, Unit 5",Denver,80239,2025-05-01
403-00316,HAYLOW FARMS LLC,None,Medical Marijuana Cultivation,322 Juanita Street,Colorado Springs,80909,2025-05-01
403-01446,HEALING HOUSE LAKEWOOD LLC,Ascend Cannabis CO.,Medical Marijuana Cultivation,7420 Rex Road,Pueblo,81005,2025-05-01
403-02390,HEARTLAND INDUSTRIES LLC,None,Medical Marijuana Cultivation,9000 South Interstate 25,Colorado City,81019,2025-05-01
403-01268,HG LTD,Higher Grade,Medical Marijuana Cultivation,5010 North Paris Street,Denver,80239,2025-05-01
403-01055,HIGH COLLECTIVE LLC,None,Medical Marijuana Cultivation,4900 North Colorado Boulevard,Denver,80216,2025-05-01
403-01762,HIGH COUNTRY INFUSIONS LLC,None,Medical Marijuana Cultivation,1785 North Academy Boulevard Suite 180,Colorado Springs,80909,2025-05-01
403-01391,HIGH MOUNTAIN MEDZ LLC,Levity Wellness,Medical Marijuana Cultivation,3000 County Road 103,Florence,81226,2025-05-01
403-01609,HIGH RYSE LLC,High Ryse,Medical Marijuana Cultivation,1001 North Tejon Street,Denver,80204,2025-05-01
403-01596,HOBBY FARMS LLC,A Cut Above,Medical Marijuana Cultivation,817 Wooten Road,Colorado Springs,80915,2025-05-01
403-01120,HOG LEG FARM LLC,None,Medical Marijuana Cultivation,803 South Jason Street,Denver,80223,2025-05-01
403-00070,HOLLISTER & BLACKSMITH INC,Naturaleaf,Medical Marijuana Cultivation,2611 Durango Drive,Colorado Springs,80910,2025-05-01
403-01870,HONEY LEAF INC,Honey Leaf,Medical Marijuana Cultivation,3524 North Tejon Street,Colorado Springs,80907,2025-05-01
403-01570,I & S LLC,SILVER STEM FINE CANNABIS,Medical Marijuana Cultivation,1235 North Umatilla Street,Denver,80204,2025-05-01
403-02370,INDICO COLORADO INC,None,Medical Marijuana Cultivation,20637 Highway 96,Sugar City,81076,2025-05-01
403-00361,ISM2 INC,Green Dot Labs,Medical Marijuana Cultivation,12555 East 37th Avenue,Denver,80239,2025-05-01
403-01940,J&C CORP,Juicy Concentrates,Medical Marijuana Cultivation,59 North Fabrication Drive,Pueblo West,81007,2025-05-01
403-00563,JET BLACK ENTERPRISES LLC,Leiffa,Medical Marijuana Cultivation,5775 East 39th Avenue,Denver,80207,2025-05-01
403-00013,JGB VENTURES LLC,DANK,Medical Marijuana Cultivation,3835 North Elm Street Unit C,Denver,80207,2025-05-01
403-01605,JKC MANUFACTURING LLC,Stratos,Medical Marijuana Cultivation,73 North Research Drive,Pueblo West,81007,2025-05-01
403-01821,JMC ENTERPRISES INC,Fremont County Cannabis,Medical Marijuana Cultivation,1800 County Road 835C,Florence,81226,2025-05-01
403-01672,JOINT SUCCESS LLC,Indico Med,Medical Marijuana Cultivation,2222 West Colorado Avenue,Colorado Springs,80904,2025-05-01
403-01486,JVT ENTERPRISES INC,COLORADO CANNABIS CONNECTION,Medical Marijuana Cultivation,1075 South Jason Street,Denver,80223,2025-05-01
403-02288,K&P ENTERPRISE LLC,Atomic Concentrates,Medical Marijuana Cultivation,3601 Freedom Road,Trinidad,81082,2025-05-01
403-01786,KANOPYA HOLDINGS LLC,Kanopya Springs,Medical Marijuana Cultivation,2545 - 2547 Platte Place,Colorado Springs,80909,2025-05-01
403-01041,KARMACEUTICALS LLC,Karmaceuticals,Medical Marijuana Cultivation,1355 South Inca Street,Denver,80223,2025-05-01
403-01040,KARMACEUTICALS LLC,Karmaceuticals,Medical Marijuana Cultivation,4 South Santa Fe Drive,Denver,80223,2025-05-01
403-00682,KAZIMER LLC,Rocky Mountain High,Medical Marijuana Cultivation,1233 West Alameda Avenue,Denver,80223,2025-05-01
403-01428,KEVCO SERVICES INC,Generations,Medical Marijuana Cultivation,3214 North Nevada Avenue,Colorado Springs,80907,2025-05-01
403-00079,KEVCO SERVICES INC,Generations,Medical Marijuana Cultivation,3228 North Nevada Avenue,Colorado Springs,80907,2025-05-01
403-01294,KIND CARE OF COLORADO LLC,Kind Care of Colorado,Medical Marijuana Cultivation,6629 South College Avenue,Fort Collins,80525,2025-05-01
403-01358,KIND LOVE LLC,None,Medical Marijuana Cultivation,4890 North Joliet Street,Denver,80239,2025-05-01
403-01272,KIND LOVE MJH LLC,Kind Love Express,Medical Marijuana Cultivation,3899 North Quentin Street,Denver,80239,2025-05-01
403-01817,LBW CONSULTING GROUP LLC,Seed & Smith,Medical Marijuana Cultivation,5070 North Oakland Street,Denver,80239,2025-05-01
403-02403,LEGACY GARDENZ LLC,None,Medical Marijuana Cultivation,8294 Maverick Lane,Ordway,81063,2025-05-01
403-00303,LEVELS IV INC,Levels IV Inc.,Medical Marijuana Cultivation,3857 North Elm Street,Denver,80207,2025-05-01
403-00283,LEVELS IV INC,Levels IV Inc,Medical Marijuana Cultivation,4905 East 41st Avenue,Denver,80216,2025-05-01
403-01384,LEVELS IV INC,Levels IV Inc.,Medical Marijuana Cultivation,4980 North Monroe Street,Denver,80216,2025-05-01
403-00378,LIGHTSHADE LABS LLC,Lightshade,Medical Marijuana Cultivation,3950 North Holly Street,Denver,80207,2025-05-01
403-00362,LIGHTSHADE LABS LLC,Lightshade,Medical Marijuana Cultivation,5885 East Evans Avenue,Denver,80222,2025-05-01
403-00696,LIVWELL XIII LLC,LivWell,Medical Marijuana Cultivation,3880 North Holly Street,Denver,80207,2025-05-01
403-01096,LONG GONE FARMS LLC,Steel City Meds Medical Dispensary,Medical Marijuana Cultivation,152 East Industrial Boulevard,Pueblo West,81007,2025-05-01
403-00659,LVJS SERVICES LLC,Front Range Cannabis,Medical Marijuana Cultivation,327 Karen Lane,Colorado Springs,80907,2025-05-01
403-01665,MAGIC CITY FARMS 2 LLC,Magic City Cannabis,Medical Marijuana Cultivation,3819 North Quentin Street,Denver,80239,2025-05-01
403-01916,MAMMOTH FARMS LLC,Goldwater Extracts,Medical Marijuana Cultivation,50562 County Road U,Saguache,81149,2025-05-01
403-00527,MC STRATEGIC VENTURES LLC,Jade Kola,Medical Marijuana Cultivation,2809 North Prospect Street,Colorado Springs,80907,2025-05-01
403-01616,MC STRATEGIC VENTURES LLC,Jade Kola,Optional Premises,"3758 Astrozon Boulevard, Unit B ",Colorado Springs,80910,2025-05-01
403-00578,MEDICAL MJ SUPPLY LLC,Best Colorado Cannabis,Medical Marijuana Cultivation,4800 Lamar Street,Wheat Ridge,80033,2025-05-01
403-01810,MEDPHARM HOLDINGS LLC,None,Medical Marijuana Cultivation,3855 North Quentin Street,Denver,80239,2025-05-01
403-00739,MILE HIGH MEDICAL CANNABIS LLC,LIT,Medical Marijuana Cultivation,4611 East 46th Avenue,Denver,80216,2025-05-01
403-00973,MILE HIGH REMEDIES LLC,Doctors Orders,Medical Marijuana Cultivation,2805 North Prospect Street,Colorado Springs,80907,2025-05-01
403-01469,MJLQ LLC,Green Rino,Medical Marijuana Cultivation,"5959 East 39th Avenue, Unit 101",Denver,80207,2025-05-01
403-01813,MODERN BOTANY LLC,None,Medical Marijuana Cultivation,"4595 East 46th Avenue , Unit 110",Denver,80216,2025-05-01
403-01510,MODERN MEDICINE LLC,Altitude Organic Medicine,Medical Marijuana Cultivation,2903 North Prospect Street,Colorado Springs,80907,2025-05-01
403-02016,MORNING SWEETS LLC,MORNING SWEETS,Medical Marijuana Cultivation,365 15th Street,Penrose,81240,2025-05-01
403-01969,MR PARACHUTE LLC,None,Medical Marijuana Cultivation,0929 G County Road 215,Parachute,81635,2025-05-01
403-01975,MRW COLORADO LLC,None,Medical Marijuana Cultivation,0929 F County Road 215,Parachute,81635,2025-05-01
403-00430,NATIONAL GREEN SOURCE LLC,The Green Source,Medical Marijuana Cultivation,6345 East Platte Avenue,Colorado Springs,80915,2025-05-01
