"Marijuana Sales Report
January 2014 to December 2024",,,,
Intentionally left blank,,,,
 Month,Year,"Total Medical 
Marijuana Sales ¹","Total Retail 
Marijuana Sales ²","Total 
Marijuana Sales"
12,2024,"$12,369,108","$101,207,275","$113,576,383"
11,2024,"$11,878,351","$97,379,486","$109,257,837"
10,2024,"$12,416,284","$100,887,426","$113,303,710"
9,2024,"$11,913,574","$100,516,124","$112,429,698"
8,2024,"$13,556,775","$108,924,413","$122,481,188"
7,2024,"$13,640,705","$108,909,609","$122,550,314"
6,2024,"$13,961,464","$99,802,616","$113,764,080"
5,2024,"$14,771,263","$98,403,225","$113,174,488"
4,2024,"$14,659,595","$105,513,139","$120,172,734"
3,2024,"$15,116,515","$111,514,395","$126,630,910"
2,2024,"$13,833,825","$100,571,530","$114,405,355"
1,2024,"$15,277,966","$100,107,314","$115,385,280"
12,2023,"$14,701,440","$101,101,951","$115,803,391"
11,2023,"$14,521,352","$95,823,249","$110,344,601"
10,2023,"$14,797,460","$107,875,657","$122,673,117"
9,2023,"$14,840,422","$113,145,109","$127,985,531"
8,2023,"$15,658,299","$116,789,668","$132,447,967"
7,2023,"$16,025,090","$121,300,497","$137,325,587"
6,2023,"$14,606,203","$116,679,597","$131,285,800"
5,2023,"$14,984,061","$111,078,122","$126,062,183"
4,2023,"$16,720,258","$114,836,546","$131,556,804"
3,2023,"$17,270,140","$122,351,090","$139,621,230"
2,2023,"$15,409,686","$109,438,491","$124,848,177"
1,2023,"$16,217,940","$113,152,226","$129,370,166"
12,2022,"$16,858,222","$122,157,222","$139,015,444"
11,2022,"$16,406,527","$113,914,889","$130,321,416"
10,2022,"$17,030,219","$124,986,296","$142,016,515"
9,2022,"$17,603,178","$129,277,399","$146,880,577"
8,2022,"$18,930,580","$131,508,945","$150,439,525"
7,2022,"$18,326,459","$135,574,507","$153,900,966"
6,2022,"$19,235,656","$127,157,358","$146,393,014"
5,2022,"$20,742,830","$127,061,610","$147,804,440"
4,2022,"$21,315,278","$131,708,527","$153,023,805"
3,2022,"$22,898,925","$139,607,877","$162,506,802"
2,2022,"$20,341,170","$124,925,581","$145,266,751"
1,2022,"$21,135,544","$129,984,038","$151,119,582"
12,2021,"$28,314,622","$139,726,972","$168,041,594"
11,2021,"$26,821,676","$131,640,783","$158,462,459"
10,2021,"$29,214,748","$147,137,979","$176,352,727"
9,2021,"$30,349,138","$150,781,653","$181,130,791"
8,2021,"$34,871,389","$157,994,708","$192,866,097"
7,2021,"$35,010,274","$167,805,366","$202,815,640"
6,2021,"$34,534,293","$152,719,813","$187,254,106"
5,2021,"$36,781,683","$157,221,754","$194,003,437"
4,2021,"$39,817,606","$166,506,561","$206,324,167"
3,2021,"$40,372,910","$166,729,153","$207,102,063"
2,2021,"$32,452,819","$134,584,956","$167,037,775"
1,2021,"$35,869,373","$151,734,324","$187,603,697"
12,2020,"$36,651,909","$149,691,299","$186,343,208"
11,2020,"$34,650,013","$140,495,233","$175,145,246"
10,2020,"$38,788,945","$160,999,919","$199,788,864"
9,2020,"$39,941,149","$166,547,119","$206,488,268"
8,2020,"$42,034,746","$176,566,595","$218,601,341"
7,2020,"$43,268,565","$183,106,003","$226,374,568"
6,2020,"$40,770,582","$158,102,628","$198,873,210"
5,2020,"$42,989,322","$149,186,615","$192,175,937"
4,2020,"$36,485,700","$112,010,018","$148,495,718"
3,2020,"$32,929,194","$128,117,512","$161,046,706"
2,2020,"$26,557,708","$112,068,640","$138,626,348"
1,2020,"$27,471,535","$111,660,730","$139,132,265"
12,2019,"$27,314,662","$116,437,714","$143,752,376"
11,2019,"$26,697,731","$114,381,244","$141,078,975"
10,2019,"$29,229,660","$121,246,599","$150,476,259"
9,2019,"$28,601,353","$126,853,814","$155,455,167"
8,2019,"$31,350,310","$141,869,549","$173,219,859"
7,2019,"$30,389,970","$135,904,745","$166,294,715"
6,2019,"$29,653,362","$122,372,729","$152,026,091"
5,2019,"$29,446,360","$113,660,919","$143,107,279"
4,2019,"$27,943,394","$107,938,775","$135,882,169"
3,2019,"$28,097,865","$114,317,739","$142,415,604"
2,2019,"$24,082,927","$95,324,933","$119,407,860"
1,2019,"$25,680,596","$99,193,678","$124,874,274"
12,2018,"$29,246,755","$105,497,699","$134,744,454"
11,2018,"$26,062,807","$97,877,084","$123,939,891"
10,2018,"$27,919,377","$101,305,394","$129,224,771"
9,2018,"$27,897,573","$107,638,880","$135,536,453"
8,2018,"$28,323,863","$112,998,245","$141,322,108"
7,2018,"$27,239,015","$111,296,569","$138,535,584"
6,2018,"$27,096,966","$102,426,064","$129,523,030"
5,2018,"$26,225,775","$96,642,441","$122,868,216"
4,2018,"$27,019,073","$97,290,806","$124,309,879"
3,2018,"$29,238,678","$105,945,278","$135,183,956"
2,2018,"$26,640,302","$85,869,215","$112,509,517"
1,2018,"$29,263,308","$88,729,914","$117,993,222"
12,2017,"$31,924,397","$96,348,057","$128,272,454"
11,2017,"$31,878,468","$87,689,309","$119,567,777"
10,2017,"$34,082,247","$93,623,919","$127,706,166"
9,2017,"$35,518,033","$100,280,636","$135,798,669"
8,2017,"$36,921,075","$101,548,082","$138,469,157"
7,2017,"$35,256,994","$101,037,453","$136,294,447"
6,2017,"$36,125,578","$92,825,639","$128,951,217"
5,2017,"$36,521,894","$87,012,525","$123,534,419"
4,2017,"$38,049,392","$86,223,281","$124,272,673"
3,2017,"$37,451,683","$92,912,147","$130,363,830"
2,2017,"$31,074,413","$75,665,966","$106,740,379"
1,2017,"$31,712,608","$76,018,423","$107,731,031"
12,2016,"$34,872,353","$81,221,005","$116,093,358"
11,2016,"$34,839,439","$74,382,892","$109,222,331"
10,2016,"$35,940,555","$80,695,313","$116,635,868"
