License Number,Facility Name,DBA,Facility Type,Street,City,ZIP Code,Date Updated
403R-00537,1-11 LLC,1:11,Retail Marijuana Cultivation Facility,54414 County Road F,Center,81125,2025-05-01
403R-00974,132 ENTERPRISES LLC,KLONE; RadCanna,Retail Marijuana Cultivation Facility,"322 North Norfolk Street, Unit I",Aurora,80011,2025-05-01
403R-01454,1395 SOUTH ACOMA LLC,Stellar Decon; Stellar Cannabis,Retail Marijuana Cultivation Facility,1395 South Acoma Street,Denver,80223,2025-05-01
403R-00885,1790 POPE VALLEY LLC,Canna Tek,Retail Marijuana Cultivation Facility,1790 Pope Valley Ranch Road ,Pueblo,81005,2025-05-01
403R-01401,1CURE LLC,None,Retail Marijuana Cultivation Facility,7835 Maverick Lane,Ordway,81063,2025-05-01
403R-00692,2205 POPE VALLEY LLC,Canna Tek,Retail Marijuana Cultivation Facility,2205 Pope Valley Ranch Road,Pueblo,81005,2025-05-01
403R-01466,3 SISTERS CANNABIS LLC,3 Sisters Cannabis,Retail Marijuana Cultivation Facility,218 Norml Lane,Moffat,81143,2025-05-01
403R-00058,4611 EXPANSION LLC,None,Retail Marijuana Cultivation Facility,4655 East 46th Avenue,Denver,80216,2025-05-01
403R-01019,4985 HOLDINGS LLC,None,Retail Marijuana Cultivation Facility,4985 Colorado Boulevard,Denver,80216,2025-05-01
403R-00670,7415 LLC,None,Retail Marijuana Cultivation Facility,7415 Rex Road,Pueblo,81005,2025-05-01
403R-00719,81082 LLC,Colorado Cannabis Exchange II,Retail Marijuana Cultivation Facility,123 Pine Street,Trinidad,81082,2025-05-01
403R-00503,A2ZINC LLC,AJs,Retail Marijuana Cultivation Facility,2177 57th Lane,Boone,81025,2025-05-01
403R-00313,ABUNDANT HEALTH DENVER LLC,Herban Underground,Retail Marijuana Cultivation Facility,"70 North Broadway, Suite 50",Denver,80203,2025-05-01
403R-01162,ACES PLACE LLC ,None,Retail Marijuana Cultivation Facility,14621 County Road 98,Nunn,80648,2025-05-01
403R-01024,AD FARMS LLC,None,Retail Marijuana Cultivation Facility,6473 Galbreth Road,Pueblo,81005,2025-05-01
403R-00734,AF INC,Apothecary Farms,Retail Marijuana Cultivation Facility,3415 Riddell Place,Colorado City,81019,2025-05-01
403R-00424,AF INC,Apothecary Farms,Retail Marijuana Cultivation Facility,1917 Santa Fe Drive,Pueblo,81006,2025-05-01
403R-01328,AGG FARMS LLC,None,Retail Marijuana Cultivation Facility,619 Dunn Deal Drive Tract 1,Moffat,81143,2025-05-01
403R-00565,AGRICULTURAL ADVANTAGES LLC,Lucky Monkey Buds,Retail Marijuana Cultivation Facility,137 West Cedar Street,Trinidad,81082,2025-05-01
403R-01006,AGRICULTURAL FARMS LLC,AGRICULTURAL FARMS,Retail Marijuana Cultivation Facility,47898 County Road U,Saguache,81149,2025-05-01
