License Number,Facility Name,DBA,Facility Type,Street,City,ZIP Code,Date Updated
402-01197,1-11 LLC,one:eleven,Medical Marijuana Store,17034 Highway 17,Moffat,81143,2025-05-01
402-00116,1022 S ROYER LLC,Hightops,Medical Marijuana Store,1022 South Royer Street,Colorado Springs,80903,2025-05-01
402-00455,11761013 COLORADO HOLDINGS LLC ,ACA COLORADO,Medical Marijuana Store,1911 South Broadway,Denver,80210,2025-05-01
402-00248,2306 N POWERS LLC,Hightops,Medical Marijuana Store,"2306 North Powers Frontage Road, Suite 100",Colorado Springs,80915,2025-05-01
402-00618,4 ROSES LLC,Bleezies,Medical Marijuana Store,3234 North Nevada Avenue,Colorado Springs,80907,2025-05-01
402-00656,543 BRYANT STREET LLC,Snaxland,Medical Marijuana Store,543 Bryant Street,Denver,80204,2025-05-01
402-01371,A AND M ENTERPRISES LLC,Backstage Grass,Medical Marijuana Store,117 Greydene Avenue,Canon City,81212,2025-05-01
402-00306,ABUNDANT HEALTH DENVER LLC,Herban Underground,Medical Marijuana Store,"70 North Broadway, Suite 50",Denver,80203,2025-05-01
402-00869,ACADEMY OF THE HEALING ARTS LLC,High Valley Healing Alamosa,Medical Marijuana Store,"0711 West Highway 160, Suite B",Alamosa,81101,2025-05-01
402-00929,ACES PLACE LLC,None,Medical Marijuana Store,"1101 Academy Court, Unit 4",Fort Collins,80524,2025-05-01
402-01097,ADAMS GREEN CROSSING LLC,None,Medical Marijuana Store,3640 West Colorado Avenue,Colorado Springs,80904,2025-05-01
402-01145,ADAMS GREEN CROSSING LLC,None,Medical Marijuana Store,"2727 Palmer Park Boulevard, Suite A",Colorado Springs,80909,2025-05-01
402-01119,AF INC,Apothecary Farms,Medical Marijuana Store,3049 Delta Drive,Colorado Springs,80910,2025-05-01
402-01330,AF INC,Apothecary Farms,Medical Marijuana Store,414 West Garden of the Gods Road,Colorado Springs,80918,2025-05-01
402-00375,AF INC,Apothecary Farms,Medical Marijuana Store,2251 South Broadway,Denver,80210,2025-05-01
402-00980,AF INC,Apothecary Farms,Medical Marijuana Store,1917 Santa Fe Drive,Pueblo,81006,2025-05-01
402-01337,ALPINE ESSENTIALS LLC,Alpine Essentials,Medical Marijuana Store,850 A & B Commercial Lane,Palmer Lake,80133,2025-05-01
402-00002,ALTERNATIVE MEDICINE ON CAPITOL HILL LLC ,None,Medical Marijuana Store,1301 North Marion Street,Denver,80218,2025-05-01
402-00913,ALTERNATIVE MEDICINE ON THE MALL LLC,Native Roots Speer,Medical Marijuana Store,500 North Grant Street,Denver,80203,2025-05-01
402-00823,ASCEND II LLC,Ascend Cannabis Co,Medical Marijuana Store,204 East Main Street,Buena Vista,81211,2025-05-01
402-00939,ASCEND II LLC,Ascend Cannabis Co,Medical Marijuana Store,3555 South Yosemite Street,Denver,80237,2025-05-01
402-00978,ASCEND LITTLETON LLC,Ascend Cannabis Co.,Medical Marijuana Store,5231 South Santa Fe Drive,Littleton,80120,2025-05-01
402-01225,Advanced BTP LLC ,Kind-Meds,Medical Marijuana Store,1001 South Royer Street ,Colorado Springs,80903,2025-05-01
402-00642,B WELL LLC,Boulder Built,Medical Marijuana Store,"5420 Arapahoe Avenue, Suite F",Boulder,80303,2025-05-01
402-01171,BEST BUDZ LLC,Gemini Cannabis,Medical Marijuana Store,3850 North Nevada Avenue,Colorado Springs,80907,2025-05-01
402-00401,BEST BUDZ LLC,Best Budz,Medical Marijuana Store,3729 Austin Bluffs Parkway,Colorado Springs,80918,2025-05-01
402-00670,BGOOD VENTURES LLC,None,Medical Marijuana Store,80 South Pennsylvania Street,Denver,80209,2025-05-01
402-00930,BIG MOUNTAIN ORGANICS LLC,Floraco,Medical Marijuana Store,2909 North El Paso Street,Colorado Springs,80907,2025-05-01
402-00976,BIG RIVER BEND LLC,The Trust Cannabis Company,Medical Marijuana Store,"1537 Pearl Street, Suite B",Boulder,80302,2025-05-01
402-00983,BIOMEDS OF COLORADO LLC,Biomeds,Medical Marijuana Store,2301 Rand Avenue,Colorado Springs,80905,2025-05-01
402-01170,BISHFLIP LLC,Ripple,Medical Marijuana Store,3615 East Platte Avenue,Colorado Springs,80909,2025-05-01
402-01079,BK HOLDINGS LLC,The Herbal Center,Medical Marijuana Store,1909 South Broadway,Denver,80210,2025-05-01
