License Number,Facility Name,DBA,Facility Type,Street,City,ZIP Code,Date Updated
402R-00581,1-11 LLC,one:eleven,Retail Marijuana Store,17034 Highway 17,Moffat,81143,2025-05-01
402R-01100,1022 S ROYER LLC,Hightops ,Retail Marijuana Store,1022 South Royer Street,Colorado Springs,80903,2025-05-01
402R-00739,10232 LLC,Provisions,Retail Marijuana Store,10232 Interstate 25,Walsenburg,81089,2025-05-01
402R-00587,11761013 COLORADO HOLDINGS LLC ,ACA COLORADO,Retail Marijuana Store,1911 South Broadway,Denver,80210,2025-05-01
402R-01041,1310 FACTORY CIRCLE LLC,Nature's Herbs & Wellness Center of Fort Lupton,Retail Marijuana Store,1310 Factory Circle Unit A,Fort Lupton,80621,2025-05-01
402R-01099,2306 N POWERS LLC,Hightops,Retail Marijuana Store,2306 North Powers Frontage Road Suite 100,Colorado Springs,80915,2025-05-01
402R-00698,417 COMMERCIAL LLC,THE BUZZ,Retail Marijuana Store,417 North Commercial Street,Trinidad,81082,2025-05-01
402R-00438,505 CENTER LLC,Pure Marijuana Dispensary,Retail Marijuana Store,505 West 40th Avenue ,Denver,80216,2025-05-01
402R-01024,5403 QUEBEC ST LLC,None,Retail Marijuana Store,5403 Quebec Street,Commerce City,80022,2025-05-01
402R-00861,543 BRYANT STREET LLC,Snaxland,Retail Marijuana Store,543 Bryant Street,Denver,80204,2025-05-01
402R-00860,8058 LLC,Mighty Tree,Retail Marijuana Store,4755 North Lipan Street,Denver,80211,2025-05-01
402R-00417,920104 LLC,Callies,Retail Marijuana Store,920 West 104th Avenue,Northglenn,80234,2025-05-01
402R-00935,A & M LLC,Border Buds,Retail Marijuana Store,1929 Highway 550,Durango,81303,2025-05-01
402R-00734,A&A INVESTMENTS LLC,Eclipse Cannabis Company,Retail Marijuana Store,933 Alpine Avenue Suite 2,Boulder,80304,2025-05-01
402R-00237,ABUNDANT HEALTH DENVER LLC,Herban Underground,Retail Marijuana Store,"70 North Broadway, Suite 50",Denver,80203,2025-05-01
402R-00482,ACADEMY OF THE HEALING ARTS LLC,High Valley Antonito Retail Cannabis,Retail Marijuana Store,307 Main Street,Antonito,81120,2025-05-01
402R-00232,ACADEMY OF THE HEALING ARTS LLC,High Valley Retail Cannabis,Retail Marijuana Store,60250 County Road T,Moffat,81143,2025-05-01
402R-00502,ACES PLACE LLC,None,Retail Marijuana Store,"1101 Academy Court, Unit 4",Fort Collins,80524,2025-05-01
402R-01105,ADVANCED BTP LLC,Kind-Meds,Retail Marijuana Store,1001 South Royer Street,Colorado Springs,80903,2025-05-01
402R-01093,AF INC,None,Retail Marijuana Store,3049 Delta Drive,Colorado Springs,80112,2025-05-01
402R-01094,AF INC,None,Retail Marijuana Store,414 West Garden of the Gods Road,Colorado Springs,80918,2025-05-01
402R-00048,AF INC,Apothecary Farms,Retail Marijuana Store,2251 South Broadway,Denver,80210,2025-05-01
402R-00884,AF INC,Apothecary Farms,Retail Marijuana Store,468 South Federal Boulevard,Denver,80219,2025-05-01
402R-00382,AF INC,Apothecary Farms,Retail Marijuana Store,1917 Santa Fe Drive,Pueblo,81006,2025-05-01
402R-00196,AF INC,None,Retail Marijuana Store,922 East Hailey Lane Unit B,Pueblo West,81007,2025-05-01
402R-00877,AGRICULTURAL ADVANTAGES LLC,Lucky Monkey Buds II,Retail Marijuana Store,511 Ambassador Thompson Boulevard,Las Animas,81054,2025-05-01
402R-00476,AGRICULTURAL ADVANTAGES LLC,Lucky Monkey Buds,Retail Marijuana Store,137 West Cedar Street,Trinidad,81082,2025-05-01
402R-00606,AHAB LLC,Strawberry Fields,Retail Marijuana Store,116 Santa Fe Trail Drive,Trinidad,81082,2025-05-01
