License Number,Facility Name,DBA,Facility Type,Street,City,ZIP Code,Date Updated
404R-00138,1-11 LLC,1:11,Retail Marijuana Products Mfg,54414 County Road F,Center,81125,2025-05-01
404R-00389,808 DABS LLC,None,Retail Marijuana Products Mfg,4550 North Jackson Street,Denver,80216,2025-05-01
404R-00222,81082 LLC,Colorado Cannabis Exchange II,Retail Marijuana Products Mfg,123 Pine Street,Trinidad,81082,2025-05-01
404R-00558,A & M LLC,Border Buds,Retail Marijuana Products Mfg,84 Goldmine Drive,Pagosa Springs,81147,2025-05-01
404R-00460,ACES PLACE LLC,None,Retail Marijuana Products Mfg,14621 County Road 98,Nunn,80648,2025-05-01
404R-00410,AF INC,Apothecary Extracts,Retail Marijuana Products Mfg,65 Precision Drive,Pueblo West,81007,2025-05-01
404R-00502,ALB VENTURES LLC,None,Retail Marijuana Products Mfg,"5475 Peoria Street, Unit 4-110",Denver,80239,2025-05-01
404R-00253,ALB Ventures LLC,None,Retail Marijuana Products Mfg,"5475 North Peoria Street, Unit 4-110",Denver,80239,2025-05-01
404R-00509,ALIEN EXTRACTS LLC,Alien Extracts,Retail Marijuana Products Mfg,20315 Sherman Lane,Ordway,81063,2025-05-01
404R-00535,ALL GOOD COLLECTIVE LLC,All Good Collective,Retail Marijuana Products Mfg,4725 South Nautilus Court Unit 4,Boulder,80301,2025-05-01
404R-00562,ALL PRO FARMS LLC,None,Retail Marijuana Products Mfg,1500 US Highway 85/87,Walsenburg,81089,2025-05-01
404R-00234,ALLGREENS LLC,None,Retail Marijuana Products Mfg,1235 South Huron Street,Denver,80223,2025-05-01
404R-00542,ALPINE ALCHEMY LLC,None,Retail Marijuana Products Mfg,260 Griffing Road ,Gunnison,81230,2025-05-01
404R-00124,ANTS ORGANIC LLC,Honest Marijuana Company,Retail Marijuana Products Mfg,231 Arthur Avenue,Oak Creek,80467,2025-05-01
404R-00258,AVICENNA PRODUCTS LLC,High Tech Concentrates,Retail Marijuana Products Mfg,3950 Grape Street,Denver,80207,2025-05-01
404R-00436,AVICENNA PRODUCTS LLC,High Tech Concentrates,Retail Marijuana Products Mfg,1822 South Bannock Street,Denver,80223,2025-05-01
404R-00383,AVICENNA PRODUCTS LLC,High Tech Concentrates,Retail Marijuana Products Mfg,35715 US Highway 40 Building D Unit 106,Evergreen,80439,2025-05-01
404R-00553,BACHAZ LLC,BACHAZ,Retail Marijuana Products Mfg,1221 Pecos Street Suite 110,Denver,80204,2025-05-01
404R-00186,BD EXTRACTIONS LLC,Dabs Labs,Retail Marijuana Products Mfg,"128 Maine Street, Building A",Log Lane Village,80705,2025-05-01
404R-00162,BESPOKE EXTRACTS COLORADO LLC,Wonderleaf,Retail Marijuana Products Mfg,"12001 East 33rd Avenue, Unit O",Aurora,80010,2025-05-01
404R-00552,BEST BUDS BUBBLES LLC,Best Buds Bakery,Retail Marijuana Products Mfg,19655 Tamak Lane,Ordway,81063,2025-05-01
404R-00495,BETTER GREEN LLC,None,Retail Marijuana Products Mfg,514 Bent Avenue,Las Animas,81054,2025-05-01
404R-00036,BEYOND BROADWAY LLC,LivWell,Retail Marijuana Products Mfg,5141 North National Western Drive,Denver,80216,2025-05-01
404R-00297,BIG TOP LLC,None,Retail Marijuana Products Mfg,1952 South Acoma Street,Denver,80223,2025-05-01
404R-00404,BK HOLDINGS LLC,The Herbal Center,Retail Marijuana Products Mfg,12001 East 37th Avenue ,Denver,80239,2025-05-01
404R-00021,BLUE COTTAGE LLC,Mary Jane's Medicinals,Retail Marijuana Products Mfg,1510 Grand Avenue,Norwood,81423,2025-05-01
404R-00385,BOULDER BUILT LLC,None,Retail Marijuana Products Mfg,5305 Vasquez Boulevard,Commerce City,80022,2025-05-01
404R-00060,BOULDER MANUFACTURING LLC,None,Retail Marijuana Products Mfg,5575 Arapahoe Avenue  Units B & C,Boulder,80303,2025-05-01
404R-00041,BOULDER ORGANIC FOOD GROUP LLC,Potions,Retail Marijuana Products Mfg,9125 West 44th Avenue,Wheat Ridge,80033,2025-05-01
404R-00166,BOULDER SWEET GRASS LLC,Sweet Mary Jane,Retail Marijuana Products Mfg,"1700 North 55th Street, Suite C",Boulder,80301,2025-05-01
404R-00090,BRECKENRIDGE INVESTMENTS LLC,The Dispensary,Retail Marijuana Products Mfg,"1805 Airport Road, Unit B2",Breckenridge,80424,2025-05-01
404R-00564,BUBBA'S KUSH LLC,Kaiser Consulting Services,Retail Marijuana Products Mfg,20064 Tamarack Lane,Ordway,81063,2025-05-01
404R-00334,BUD FOX ENTERPRISES LLC,None,Retail Marijuana Products Mfg,"14896 East 38th Avenue, Unit B",Aurora,80011,2025-05-01
404R-00340,C&R COLORADO LLC,Smokiez,Retail Marijuana Products Mfg,2585 West 8th Avenue,Denver,80204,2025-05-01
404R-00156,C2CC LLC,Bonanza,Retail Marijuana Products Mfg,5919 North Broadway,Denver,80216,2025-05-01
404R-00079,CANNA CLUB LLC,Best Buds,Retail Marijuana Products Mfg,"11900 East 33rd Avenue, Suite 2",Aurora,80010,2025-05-01
404R-00263,CANNXTRACTS LLC,None,Retail Marijuana Products Mfg,"6185 Arapahoe Avenue, Unit D",Boulder,80303,2025-05-01
404R-00561,CB CO MANUFACTURING LLC,None,Retail Marijuana Products Mfg,9690 Dallas Street Unit A,Commerce City,80640,2025-05-01
404R-00047,CC BRANDS LLC,Cheeba Chews,Retail Marijuana Products Mfg,4945 North Pearl Street,Denver,80216,2025-05-01
404R-00074,CCC INC,The Happy Camper Cannabis Company,Retail Marijuana Products Mfg,80 Rosalie Road,Bailey,80421,2025-05-01
404R-00414,CG INDUSTRY LLC,C.G. LABS,Retail Marijuana Products Mfg,"4902 East Smith Road, Unit A,",Denver,80216,2025-05-01
404R-00360,CGFR GROUP INC,Habana Extracts,Retail Marijuana Products Mfg,"5301 Vasquez Boulevard, Unit 102",Commerce City,80022,2025-05-01
404R-00488,CHECKER SIX LLC,TS Labs,Retail Marijuana Products Mfg,1120 North Yuma Court,Denver,80204,2025-05-01
404R-00388,CIELO VERDE LLC,Outer Other,Retail Marijuana Products Mfg,"1225 Blue Spruce Drive, Unit P",Fort Collins,80524,2025-05-01
404R-00024,CLEARVIEW INDUSTRIES LLC,None,Retail Marijuana Products Mfg,2145 West Evans Avenue,Denver,80223,2025-05-01
404R-00073,CLIINTEL CAPITAL GROUP LLC ,Clear Colorado Group,Retail Marijuana Products Mfg,"5156 North Clarkson Street, Building 2",Denver,80216,2025-05-01
404R-00281,CLUTCHX LLC,Clutch Extracts,Retail Marijuana Products Mfg,"77 North Laser Drive, Suite A",Pueblo West,81007,2025-05-01
404R-00209,COLD BAKED LLC,Concentrate Distribution Center,Retail Marijuana Products Mfg,920 East Spaulding Avenue,Pueblo West,81007,2025-05-01
