SaleDate,UnitOfMeasureName,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,Units,TOTAL_$,ProductCategoryName,ProductCategoryTypeName
4/21/2025,mg,0,0,10800,66.16,10800,6,66.16,Infused Pre-Rolls,Concentrate
4/21/2025,ea,3193,18949.75,0,0,3193,1723,18949.75,Infused Beverage,InfusedEdible
4/21/2025,lb,0,0,0.36,250,0.36,7,250,Shake/Trim,ShakeTrim
4/21/2025,ea,6,157.5,0,0,6,6,157.5,Suppository,InfusedNonEdible
4/21/2025,g,0,0,1727.11,28356.07,1727.11,864,28356.07,Concentrate,Concentrate
4/21/2025,ea,90,1840.16,0,0,90,56,1840.16,Immature Plants,Plants
4/21/2025,g,0,0,13281.13,176597.29,13281.13,9112,176597.29,Infused Pre-Rolls,Concentrate
4/21/2025,ea,27071,738604.52,0,0,27071,24293,738604.52,Vape Product,Concentrate
4/21/2025,lb,0,0,0.03,80,0.03,1,80,Buds,Buds
4/21/2025,g,0,0,12632,30585.46,12632,1087,30585.46,Shake/Trim,ShakeTrim
4/21/2025,g,0,0,77665.1,486677.24,77665.1,44551,486677.24,Raw Pre-Rolls,ShakeTrim
4/21/2025,g,0,0,320769.47,1316148.02,320769.47,43576,1316148.02,Buds,Buds
4/21/2025,g,0,0,41.5,704.51,41.5,31,704.51,Kief,Concentrate
4/21/2025,ea,4770,147632.01,0,0,4770,4069,147632.01,Concentrate (Each),Concentrate
4/21/2025,ea,24798,376055.7,0,0,24798,18739,376055.7,Infused (edible),InfusedEdible
4/21/2025,g,0,0,32170.5,78509.68,32170.5,3127,78509.68,Shake/Trim (by strain),ShakeTrim
4/21/2025,mg,0,0,3500,35,3500,1,35,Buds,Buds
4/21/2025,ea,306,8125.72,0,0,306,236,8125.72,Infused (non-edible),InfusedNonEdible
4/21/2025,mg,0,0,2000,31.09,2000,2,31.09,Kief,Concentrate
4/21/2025,ea,1,58,0,0,1,1,58,Seeds,Plants
4/21/2025,g,0,0,176.42,1756.22,176.42,77,1756.22,Concentrate (Bulk),Concentrate
4/22/2025,g,0,0,13523.2,179935.9,13523.2,9315,179935.9,Infused Pre-Rolls,Concentrate
4/22/2025,ea,7,183.75,0,0,7,6,183.75,Suppository,InfusedNonEdible
4/22/2025,g,0,0,159.5,1875.16,159.5,94,1875.16,Concentrate (Bulk),Concentrate
4/22/2025,g,0,0,82334.83,518042.94,82334.83,46580,518042.94,Raw Pre-Rolls,ShakeTrim
4/22/2025,ea,24096,377649.9,0,0,24096,18266,377649.9,Infused (edible),InfusedEdible
4/22/2025,g,0,0,1354.26,25352.69,1354.26,665,25352.69,Concentrate,Concentrate
4/22/2025,g,0,0,14315.5,33679.67,14315.5,1194,33679.67,Shake/Trim,ShakeTrim
4/22/2025,ea,4981,149794.84,0,0,4981,4142,149794.84,Concentrate (Each),Concentrate
4/22/2025,g,0,0,46,767.05,46,37,767.05,Kief,Concentrate
4/22/2025,ea,19,265,0,0,19,4,265,Seeds,Plants
4/22/2025,ea,330,8000.8,0,0,330,281,8000.8,Infused (non-edible),InfusedNonEdible
4/22/2025,lb,0,0,0.18,130,0.18,4,130,Shake/Trim,ShakeTrim
4/22/2025,g,0,0,31859.8,78380.07,31859.8,3202,78380.07,Shake/Trim (by strain),ShakeTrim
4/22/2025,mg,0,0,25800,23.44,25800,23,23.44,Infused Pre-Rolls,Concentrate
4/22/2025,ea,241,1289.93,0,0,241,223,1289.93,Immature Plants,Plants
4/22/2025,mg,0,0,3000,40.91,3000,2,40.91,Kief,Concentrate
4/22/2025,ea,26593,738577.87,0,0,26593,24082,738577.87,Vape Product,Concentrate
4/22/2025,ea,3124,17840.6,0,0,3124,1585,17840.6,Infused Beverage,InfusedEdible
4/22/2025,oz,0,0,19,1407.02,19,36,1407.02,Buds,Buds
4/22/2025,lb,0,0,0.09,200,0.09,2,200,Buds,Buds
4/22/2025,g,0,0,341176.77,1398094.96,341176.77,46286,1398094.96,Buds,Buds
4/23/2025,g,0,0,55,821.25,55,35,821.25,Kief,Concentrate
4/23/2025,ea,5316,167218.89,0,0,5316,4601,167218.89,Concentrate (Each),Concentrate
4/23/2025,ea,28494,786240.29,0,0,28494,25691,786240.29,Vape Product,Concentrate
4/23/2025,ea,5,167.38,0,0,5,5,167.38,Suppository,InfusedNonEdible
4/23/2025,lb,0,0,0.21,155,0.21,5,155,Shake/Trim,ShakeTrim
4/23/2025,mg,0,0,7000,37.5,7000,1,37.5,Buds,Buds
4/23/2025,mg,0,0,3400,19.81,3400,3,19.81,Infused Pre-Rolls,Concentrate
4/23/2025,ea,3664,22069.92,0,0,3664,1900,22069.92,Infused Beverage,InfusedEdible
4/23/2025,ea,71,1347.77,0,0,71,51,1347.77,Immature Plants,Plants
4/23/2025,ea,5,266,0,0,5,5,266,Seeds,Plants
4/23/2025,mg,0,0,1000,14.4,1000,1,14.4,Kief,Concentrate
4/23/2025,oz,0,0,46.33,3430.88,46.33,81,3430.88,Buds,Buds
4/23/2025,g,0,0,1478.67,27272.87,1478.67,741,27272.87,Concentrate,Concentrate
4/23/2025,g,0,0,84166.23,544975.6,84166.23,48622,544975.6,Raw Pre-Rolls,ShakeTrim
4/23/2025,g,0,0,372337.64,1528233.3,372337.64,48979,1528233.3,Buds,Buds
4/23/2025,ea,25456,397872.9,0,0,25456,19370,397872.9,Infused (edible),InfusedEdible
4/23/2025,g,0,0,14237,196911.36,14237,9851,196911.36,Infused Pre-Rolls,Concentrate
4/23/2025,g,0,0,17371.5,40585.65,17371.5,1376,40585.65,Shake/Trim,ShakeTrim
4/23/2025,ea,418,10718.58,0,0,418,294,10718.58,Infused (non-edible),InfusedNonEdible
4/23/2025,g,0,0,113,1192.88,113,60,1192.88,Concentrate (Bulk),Concentrate
4/23/2025,g,0,0,33448.9,83546.65,33448.9,3249,83546.65,Shake/Trim (by strain),ShakeTrim
4/24/2025,g,0,0,424141.58,1747151.83,424141.58,54594,1747151.83,Buds,Buds
4/24/2025,lb,0,0,1.08,750,1.08,19,750,Shake/Trim,ShakeTrim
4/24/2025,ea,31279,875802.09,0,0,31279,28189,875802.09,Vape Product,Concentrate
4/24/2025,lb,0,0,0.05,105,0.05,3,105,Buds,Buds
4/24/2025,g,0,0,5.22,17.9,5.22,1,17.9,Fresh Frozen Flower,Plants
4/24/2025,ea,27597,437950.39,0,0,27597,20885,437950.39,Infused (edible),InfusedEdible
4/24/2025,ea,23022,4418.54,0,0,23022,241,4418.54,Seeds,Plants
4/24/2025,ea,22,720,0,0,22,17,720,Immature Plants,Plants
4/24/2025,mg,0,0,17926,189.14,17926,11,189.14,Infused Pre-Rolls,Concentrate
4/24/2025,g,0,0,217.1,2745.06,217.1,104,2745.06,Concentrate (Bulk),Concentrate
4/24/2025,ea,5822,186329.6,0,0,5822,5038,186329.6,Concentrate (Each),Concentrate
4/24/2025,oz,0,0,14.9,1170,14.9,19,1170,Buds,Buds
4/24/2025,ea,2,70,0,0,2,2,70,Suppository,InfusedNonEdible
4/24/2025,mg,0,0,4000,49.37,4000,4,49.37,Kief,Concentrate
4/24/2025,g,0,0,93746.54,611714.35,93746.54,53945,611714.35,Raw Pre-Rolls,ShakeTrim
4/24/2025,g,0,0,17542.75,42810.59,17542.75,1381,42810.59,Shake/Trim,ShakeTrim
4/24/2025,g,0,0,15992.77,223341.7,15992.77,11143,223341.7,Infused Pre-Rolls,Concentrate
4/24/2025,g,0,0,40595.6,98959.47,40595.6,3754,98959.47,Shake/Trim (by strain),ShakeTrim
4/24/2025,g,0,0,46.5,765.95,46.5,35,765.95,Kief,Concentrate
4/24/2025,ea,339,9695.73,0,0,339,278,9695.73,Infused (non-edible),InfusedNonEdible
4/24/2025,g,0,0,1703.98,30672.73,1703.98,829,30672.73,Concentrate,Concentrate
4/24/2025,ea,4631,27450.81,0,0,4631,2258,27450.81,Infused Beverage,InfusedEdible
4/25/2025,ea,34425,542983.58,0,0,34425,26676,542983.58,Infused (edible),InfusedEdible
4/25/2025,lb,0,0,0.48,340,0.48,9,340,Shake/Trim,ShakeTrim
4/25/2025,lb,0,0,0.17,325.9,0.17,10,325.9,Buds,Buds
4/25/2025,mg,0,0,24000,277.07,24000,17,277.07,Infused Pre-Rolls,Concentrate
4/25/2025,ea,21,744.54,0,0,21,15,744.54,Seeds,Plants
4/25/2025,mg,0,0,6000,90.18,6000,5,90.18,Kief,Concentrate
4/25/2025,ea,58,2109,0,0,58,41,2109,Immature Plants,Plants
4/25/2025,g,0,0,114040.76,742521.44,114040.76,64176,742521.44,Raw Pre-Rolls,ShakeTrim
4/25/2025,g,0,0,227.5,2450.21,227.5,116,2450.21,Concentrate (Bulk),Concentrate
4/25/2025,g,0,0,21486.85,294954.76,21486.85,14814,294954.76,Infused Pre-Rolls,Concentrate
4/25/2025,ea,7227,228755.9,0,0,7227,6282,228755.9,Concentrate (Each),Concentrate
4/25/2025,mg,0,0,3500,35,3500,1,35,Buds,Buds
4/25/2025,ea,390,10673.36,0,0,390,327,10673.36,Infused (non-edible),InfusedNonEdible
4/25/2025,g,0,0,19031.5,46828.42,19031.5,1438,46828.42,Shake/Trim,ShakeTrim
4/25/2025,g,0,0,526418.5,2158347.23,526418.5,66438,2158347.23,Buds,Buds
4/25/2025,g,0,0,2118.72,39472.62,2118.72,1085,39472.62,Concentrate,Concentrate
4/25/2025,g,0,0,50.5,904.89,50.5,44,904.89,Kief,Concentrate
4/25/2025,g,0,0,47951.6,117374.02,47951.6,4374,117374.02,Shake/Trim (by strain),ShakeTrim
4/25/2025,ea,35866,1002049.5,0,0,35866,32600,1002049.5,Vape Product,Concentrate
4/25/2025,ea,6300,37482.74,0,0,6300,3237,37482.74,Infused Beverage,InfusedEdible
4/25/2025,oz,0,0,9.4,727.5,9.4,10,727.5,Buds,Buds
4/25/2025,ea,5,0.05,0,0,5,2,0.05,Suppository,InfusedNonEdible
4/26/2025,ea,5,35.04,0,0,5,4,35.04,Suppository,InfusedNonEdible
4/26/2025,g,0,0,445499.33,1872856.65,445499.33,57557,1872856.65,Buds,Buds
4/26/2025,g,0,0,100641.2,658783.39,100641.2,57605,658783.39,Raw Pre-Rolls,ShakeTrim
4/26/2025,g,0,0,46110.1,111423.79,46110.1,4137,111423.79,Shake/Trim (by strain),ShakeTrim
4/26/2025,ea,211,7370.9,0,0,211,158,7370.9,Immature Plants,Plants
4/26/2025,g,0,0,19899.95,275956.99,19899.95,13701,275956.99,Infused Pre-Rolls,Concentrate
4/26/2025,g,0,0,1877.07,34177.88,1877.07,922,34177.88,Concentrate,Concentrate
4/26/2025,ea,497,13461.47,0,0,497,403,13461.47,Infused (non-edible),InfusedNonEdible
4/26/2025,g,0,0,14860.5,37839.2,14860.5,1158,37839.2,Shake/Trim,ShakeTrim
4/26/2025,g,0,0,234.76,2992.57,234.76,128,2992.57,Concentrate (Bulk),Concentrate
4/26/2025,ea,7002,223989.73,0,0,7002,5991,223989.73,Concentrate (Each),Concentrate
4/26/2025,mg,0,0,23600,212.61,23600,17,212.61,Infused Pre-Rolls,Concentrate
4/26/2025,ea,6835,41153.38,0,0,6835,3434,41153.38,Infused Beverage,InfusedEdible
4/26/2025,mg,0,0,5000,76.5,5000,3,76.5,Kief,Concentrate
4/26/2025,ea,35144,563985.78,0,0,35144,27457,563985.78,Infused (edible),InfusedEdible
4/26/2025,ea,33350,943004.89,0,0,33350,30230,943004.89,Vape Product,Concentrate
4/26/2025,mg,0,0,3500,17.5,3500,1,17.5,Buds,Buds
4/26/2025,lb,0,0,0.02,29.75,0.02,1,29.75,Buds,Buds
4/26/2025,g,0,0,62,1011.05,62,47,1011.05,Kief,Concentrate
4/26/2025,ea,15,655.3,0,0,15,14,655.3,Seeds,Plants
4/26/2025,lb,0,0,1.02,690,1.02,18,690,Shake/Trim,ShakeTrim
4/26/2025,oz,0,0,7.92,600,7.92,8,600,Buds,Buds
4/27/2025,g,0,0,37806.57,89577.37,37806.57,3387,89577.37,Shake/Trim (by strain),ShakeTrim
4/27/2025,ea,3850,22738.26,0,0,3850,2015,22738.26,Infused Beverage,InfusedEdible
4/27/2025,g,0,0,1606.08,29390.63,1606.08,765,29390.63,Concentrate,Concentrate
4/27/2025,lb,0,0,0.02,40,0.02,1,40,Buds,Buds
