immature,vegetative,flowering,harvested,Period
"84,283","85,442","129,509","54,104",April 2022
"65,142","46,039","69,791","24,389",April 2023
"55,877","102,423","166,258","81,125",April 2024
"68,134","92,792","123,482","47,754",April 2021
"91,250","220,344","250,339","42,888",August 2022
"118,509","320,290","591,550","66,778",August 2023
"89,904","880,568","1,326,258","127,752",August 2024
"69,254","242,205","124,301","53,523",August 2021
"61,337","90,159","149,144","70,308",December 2021
"51,700","48,802","136,123","58,983",December 2022
"18,441","58,155","179,867","47,299",December 2023
"24,172","93,662","223,222","113,374",December 2024
"67,104","65,286","80,308","42,868",December 2020
"71,537","84,180","151,045","50,826",February 2022
"59,104","49,405","75,824","41,314",February 2023
"22,216","80,694","140,410","43,552",February 2024
"26,478","82,408","220,097","102,923",February 2025
"65,612","102,715","76,328","34,501",February 2021
"60,450","89,682","149,535","69,034",January 2022
"57,269","46,883","111,709","30,567",January 2023
"22,626","79,275","114,049","60,577",January 2024
"23,095","74,933","239,999","82,613",January 2025
"65,604","69,383","92,424","30,310",January 2021
"87,635","308,631","105,676","45,331",July 2022
"165,165","1,534,200","226,237","103,808",July 2024
"67,389","233,197","139,399","51,634",July 2021
"121,775","179,854","116,307","49,689",June 2022
"106,083","290,366","88,783","25,336",June 2023
"152,173","780,277","185,029","80,163",June 2024
"186,258","93,258","142,592","54,295",June 2021
"76,433","86,989","135,905","62,548",March 2022
"52,317","47,022","68,219","28,177",March 2023
"38,971","80,838","170,250","53,226",March 2024
"21,678","84,115","178,075","114,556",March 2025
"85,188","94,525","103,277","43,943",March 2021
"109,529","101,366","122,979","50,024",May 2022
"129,512","112,979","66,623","29,151",May 2023
"121,750","345,202","169,181","71,906",May 2024
"180,153","94,427","143,059","49,448",May 2021
"34,001","48,867","53,447","209,605",Monthly_Report_-_April_2020.pdf
"56,515","98,769","65,954","310,813",Monthly_Report_-_August_2020.pdf
"10,590","23,217","45,923","127,611",Monthly_Report_-_December_2019.pdf
"19,350","42,487","44,655","169,094",Monthly_Report_-_February_2020.pdf
"22,774","29,994","41,377","150,621",Monthly_Report_-_January_2019_681263_7.pdf
"59,802","78,974","61,426","274,316",Monthly_Report_-_July_2020.pdf
"56,844","65,637","57,014","262,193",Monthly_Report_-_June_2020.pdf
"27,172","53,749","47,594","190,753",Monthly_Report_-_March_2020.pdf
"50,890","37,984","52,106","229,296",Monthly_Report_-_May_2020.pdf
"20,503","37,453","48,631","105,415",Monthly_Report_-_November_2019.pdf
"16,759","35,374","62,714","84,508",Monthly_Report_-_October_2019.pdf
"57,396","67,364","114,572","335,069",Monthly_Report_-_September_2020.pdf
"62,421","52,894","186,351","91,637",November 2022
"19,654","52,998","178,506","369,955",November 2023
"33,116","89,789","303,092","465,670",November 2024
"49,387","60,394","84,697","65,874",November 2020
"42,184","80,507","115,830","86,836",November 2021
"58,705","56,901","280,737","147,982",October 2022
"25,621","70,656","534,911","448,591",October 2023
"28,100","93,177","958,837","1,082,877",October 2024
"51,137","57,936","104,167","49,149",October 2020
"52,532","83,965","168,263","178,447",October 2021
"62,223","79,498","405,828","47,054",September 2022
"28,961","81,286","929,054","75,942",September 2023
"36,098","222,345","1,969,047","184,900",September 2024
"59,846","107,492","267,018","75,278",September 2021
