CCCLastUpdated,SOLDDATE,CONSUMER_G,PATIENT_G,GRANDTOTAL_G,CONSUMER_OZ,PATIENT_OZ,GRANDTOTAL_OZ
07/01/2024,12/2018,14.23,10.1,13.76,403.33,286.24,390.19
07/01/2024,01/2019,14.54,10.21,14.16,412.12,289.36,401.48
07/01/2024,02/2019,14.61,10.11,14.29,414.06,286.65,405.17
07/01/2024,03/2019,14.55,10.42,14.23,412.4,295.48,403.39
07/01/2024,04/2019,14.53,10.83,13.72,411.88,307.15,388.94
07/01/2024,05/2019,14.44,11.05,13.52,409.24,313.24,383.17
07/01/2024,06/2019,14.42,10.52,13.26,408.68,298.18,376.04
07/01/2024,07/2019,14.31,10.16,13.03,405.75,288.02,369.36
07/01/2024,08/2019,14.24,10.41,13.1,403.81,295.24,371.49
07/01/2024,09/2019,14.32,10.35,13.14,405.93,293.56,372.53
07/01/2024,10/2019,14.63,10.61,13.48,414.82,300.69,382.18
07/01/2024,11/2019,14.54,10.6,13.45,412.1,300.41,381.33
07/01/2024,12/2019,14.62,10.58,13.52,414.37,299.84,383.17
07/01/2024,01/2020,14.68,10.57,13.54,416.13,299.68,383.83
07/01/2024,02/2020,14.57,10.72,13.56,413.11,303.95,384.28
07/01/2024,03/2020,14.39,10.75,13.17,407.87,304.71,373.39
07/01/2024,04/2020,10.15,10.51,10.51,287.83,298.08,298.08
07/01/2024,05/2020,14.36,10.79,11.77,406.98,305.97,333.81
07/01/2024,06/2020,14.34,10.95,13.09,406.44,310.54,371.21
07/01/2024,07/2020,14.34,10.85,13.23,406.45,307.74,375.13
07/01/2024,08/2020,14.39,10.93,13.36,408.05,309.91,378.88
07/01/2024,09/2020,14.34,10.82,13.3,406.63,306.66,377.11
07/01/2024,10/2020,14.39,10.89,13.37,407.93,308.67,378.97
07/01/2024,11/2020,14.32,10.64,13.2,405.87,301.73,374.23
07/01/2024,12/2020,14.16,10.64,13.08,401.32,301.66,370.92
07/01/2024,01/2021,14.21,10.76,13.19,402.83,304.94,374.07
07/01/2024,02/2021,14.24,10.7,13.2,403.77,303.28,374.2
07/01/2024,03/2021,14.23,10.66,13.23,403.47,302.3,375.07
07/01/2024,04/2021,14.02,10.48,13.06,397.33,297.18,370.22
07/01/2024,05/2021,14.02,10.64,13.13,397.33,301.55,372.27
07/01/2024,06/2021,13.94,10.37,13.02,395.18,294.08,369.25
07/01/2024,07/2021,13.91,10.49,13.08,394.4,297.3,370.91
07/01/2024,08/2021,13.76,10.39,12.95,390.07,294.55,367.2
07/01/2024,09/2021,13.61,10.17,12.78,385.75,288.42,362.42
07/01/2024,10/2021,13.45,10.09,12.65,381.35,285.93,358.53
07/01/2024,11/2021,13.29,9.66,12.38,376.75,274,350.97
07/01/2024,12/2021,12.85,9.17,11.93,364.19,260.08,338.14
07/01/2024,01/2022,12.63,9.5,11.89,358.1,269.35,336.99
07/01/2024,02/2022,12.35,9.35,11.65,350.24,265.21,330.27
07/01/2024,03/2022,11.95,8.95,11.24,338.81,253.59,318.56
07/01/2024,04/2022,11.28,8.37,10.6,319.92,237.16,300.64
07/01/2024,05/2022,11.01,8.46,10.45,312.13,239.72,296.37
07/01/2024,06/2022,10.57,7.87,9.97,299.57,223.03,282.63
07/01/2024,07/2022,10.15,7.8,9.67,287.76,221.02,274.2
07/01/2024,08/2022,9.71,7.41,9.24,275.17,210,262.08
07/01/2024,09/2022,9.15,7.12,8.76,259.41,201.75,248.28
07/01/2024,10/2022,7.63,6.87,7.5,216.21,194.89,212.66
07/01/2024,11/2022,8.05,6.53,7.76,228.11,185.21,220.12
07/01/2024,12/2022,7.63,6.29,7.39,216.24,178.21,209.41
07/01/2024,01/2023,7.06,6.37,6.94,200.04,180.6,196.84
07/01/2024,02/2023,6.08,6.2,6.1,172.34,175.87,172.86
07/01/2024,03/2023,6.58,6.28,6.54,186.63,178.07,185.36
07/01/2024,04/2023,5.96,5.9,5.95,168.99,167.31,168.75
07/01/2024,05/2023,5.97,5.91,5.97,169.38,167.5,169.12
07/01/2024,06/2023,5.74,5.76,5.74,162.77,163.18,162.82
07/01/2024,07/2023,6.2,5.57,6.11,175.71,157.86,173.28
07/01/2024,08/2023,5.95,5.45,5.88,168.64,154.39,166.78
07/01/2024,09/2023,5.89,5.39,5.83,167.02,152.71,165.2
07/01/2024,10/2023,5.64,5.1,5.57,159.77,144.7,157.85
07/01/2024,11/2023,5.59,5.19,5.54,158.54,147.02,157.08
07/01/2024,12/2023,5.66,5.1,5.59,160.47,144.67,158.46
07/01/2024,01/2024,5.65,5.16,5.59,160.2,146.38,158.5
07/01/2024,02/2024,5.27,4.97,5.24,149.44,140.95,148.43
07/01/2024,03/2024,5.31,5,5.27,150.44,141.7,149.42
07/01/2024,04/2024,5.31,4.82,5.25,150.64,136.59,148.96
07/01/2024,05/2024,5.28,4.72,5.22,149.78,133.95,147.96
07/01/2024,06/2024,5.05,4.56,4.99,143.09,129.17,141.56
07/01/2024,07/2024,5.01,4.48,4.96,142.13,127,140.5
07/01/2024,08/2024,4.91,4.41,4.85,139.11,125.04,137.63
07/01/2024,09/2024,4.85,4.32,4.79,137.39,122.35,135.85
07/01/2024,10/2024,4.78,4.25,4.72,135.37,120.63,133.84
07/01/2024,11/2024,4.56,4.06,4.51,129.4,115.03,127.92
07/01/2024,12/2024,4.45,3.93,4.4,126.23,111.36,124.74
07/01/2024,01/2025,4.42,3.91,4.37,125.33,110.98,123.93
07/01/2024,02/2025,4.31,3.85,4.27,122.3,109.23,121.05
07/01/2024,03/2025,4.28,3.86,4.24,121.29,109.3,120.17
07/01/2024,04/2025,3.31,3.71,3.34,93.76,105.29,94.63
