,WIN,SENGUN_30,GREEN_30,AMEN_ON,FVV_ON
0,0,0,0,1,1
1,0,0,0,0,0
2,0,0,0,0,0
3,1,0,0,1,1
4,1,1,1,1,1
5,1,0,0,1,0
6,0,0,0,1,1
7,1,0,1,1,1
8,1,1,0,1,1
9,1,0,1,0,1
10,0,0,1,1,1
11,1,0,0,1,1
12,1,0,0,0,1
13,1,0,1,0,1
14,1,0,0,0,1
15,1,0,0,0,1
16,1,0,0,0,1
17,1,0,0,0,0
18,1,0,0,1,0
19,1,0,0,1,0
20,0,0,0,1,0
21,0,0,0,0,0
22,0,1,0,1,1
23,1,0,0,1,0
24,1,0,0,1,0
25,0,0,0,1,0
26,1,0,1,1,0
27,0,0,0,1,0
28,1,0,0,1,0
29,1,0,0,1,0
30,0,1,0,1,0
31,0,0,0,1,0
32,0,0,0,1,0
33,0,0,0,1,0
34,0,0,0,1,1
35,0,0,0,1,1
36,1,0,0,1,1
37,1,0,0,1,1
38,1,0,0,1,1
39,1,0,0,1,1
40,0,0,0,1,1
41,1,0,0,0,1
42,0,0,0,1,0
43,1,0,1,1,1
44,1,0,1,1,1
45,1,1,0,1,1
46,1,0,0,1,1
47,1,0,1,1,1
48,0,0,0,0,1
49,1,0,0,0,1
50,0,0,0,1,1
51,0,1,0,1,1
52,1,0,1,1,1
53,1,0,0,1,1
54,1,0,0,1,1
55,1,0,1,1,1
56,0,0,0,1,1
57,1,0,0,1,1
58,1,0,1,1,0
59,0,0,0,1,1
60,0,0,0,1,1
61,1,0,0,1,1
62,1,0,1,1,1
63,1,0,0,1,1
64,0,0,0,1,1
65,1,0,0,1,1
66,1,1,0,1,1
67,0,0,0,1,1
68,1,0,0,1,1
69,1,0,0,1,1
70,1,0,0,1,1
71,1,0,0,1,0
72,1,0,0,1,1
73,0,0,0,1,1
74,1,0,0,1,1
75,1,0,0,1,1
76,0,0,0,1,1
77,1,0,0,1,1
78,1,0,1,1,1
79,0,0,0,1,1
80,1,0,0,1,1
81,0,0,0,1,1
